"spp_code","HB_9113_sum","HB_9116_sum","HB_9121_sum","HB_NA_sum","LTB_9113_sum","LTB_9116_sum","LTB_NA_sum","MTB_9113_sum","MTB_9116_sum","MTB_9121_sum","MTB_NA_sum","OTB_9113_sum","OTB_9116_sum","OTB_9121_sum","OTB_NA_sum","HB_9113_mean","HB_9116_mean","HB_9121_mean","HB_NA_mean","LTB_9113_mean","LTB_9116_mean","LTB_NA_mean","MTB_9113_mean","MTB_9116_mean","MTB_9121_mean","MTB_NA_mean","OTB_9113_mean","OTB_9116_mean","OTB_9121_mean","OTB_NA_mean"
"Etr_crossotus",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.004,0,0,0,0,0,0,0,0
"Euc_argenteus",0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0.002,0,0,0,0
"Euc_gula",239,132,9,926,951,2096,817,1599,2035,17,1432,1834,2318,49,1305,2.043,2.316,0.75,1.397,4.779,5.954,3.433,3.569,5.139,2.833,2.775,3.561,5.467,1.815,2.157
"Euc_harengulus",61,2,1,226,129,93,379,361,225,6,457,378,123,2,420,0.521,0.035,0.083,0.341,0.648,0.264,1.592,0.806,0.568,1,0.886,0.734,0.29,0.074,0.695
"Eucinostomus_spp",5619,459,117,4039,4984,12907,3469,9450,13418,227,8747,6369,5546,50,3688,48.026,8.053,9.75,6.092,25.045,36.669,14.576,21.094,33.884,37.833,16.952,12.367,13.08,1.852,6.096
"Eug_plumieri",30,51,0,135,1,1,10,6,1,0,98,81,75,0,266,0.256,0.895,0,0.204,0.005,0.003,0.042,0.013,0.003,0,0.19,0.157,0.177,0,0.44
"Far_duorarum",600,800,34,1625,329,897,325,1678,2775,56,1769,1834,1460,235,1155,5.128,14.035,2.833,2.451,1.653,2.548,1.366,3.746,7.008,9.333,3.428,3.561,3.443,8.704,1.909
"Flo_carpio",343,11,0,294,66,151,44,168,427,0,266,1059,548,3,360,2.932,0.193,0,0.443,0.332,0.429,0.185,0.375,1.078,0,0.516,2.056,1.292,0.111,0.595
"Fun_confluentus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0
"Fun_grandis",1,2,0,48,2,4,20,8,46,0,29,0,3,0,41,0.009,0.035,0,0.072,0.01,0.011,0.084,0.018,0.116,0,0.056,0,0.007,0,0.068
"Fun_similis",3,0,0,40,2,1,16,5,0,0,15,3,10,0,30,0.026,0,0,0.06,0.01,0.003,0.067,0.011,0,0,0.029,0.006,0.024,0,0.05
"Gob_bosc",0,0,0,33,1,7,1,1,0,0,9,6,3,0,26,0,0,0,0.05,0.005,0.02,0.004,0.002,0,0,0.017,0.012,0.007,0,0.043
"Gob_longipala",0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.005,0,0,0,0.002,0.003,0,0,0,0.002,0,0
"Gob_robustum",79,56,16,239,129,242,30,138,358,5,273,608,460,57,381,0.675,0.982,1.333,0.36,0.648,0.688,0.126,0.307,0.904,0.833,0.529,1.18,1.086,2.111,0.63
"Gob_strumosus",1,0,0,8,0,0,0,0,3,0,0,3,2,0,3,0.009,0,0,0.012,0,0,0,0,0.008,0,0,0.006,0.005,0,0.005
"Gobiosoma_spp",123,39,24,191,38,153,36,139,116,0,521,443,344,23,516,1.051,0.684,2,0.288,0.191,0.435,0.151,0.311,0.293,0,1.01,0.861,0.81,0.852,0.853
"Gym_micrura",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.002
"Hae_aurolineatum",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0
"Hae_plumierii",0,0,0,0,33,279,42,13,3,0,8,1,0,0,0,0,0,0,0,0.166,0.793,0.176,0.029,0.008,0,0.016,0.002,0,0,0
"Har_jaguana",1327,119,8,1417,1556,10264,7504,11322,10772,26,935,4843,6681,6,2016,11.342,2.088,0.667,2.137,7.819,29.159,31.529,25.272,27.202,4.333,1.812,9.404,15.757,0.222,3.332
